layer,input_index,output_index,weight
fc1.weight,0,54,-84
fc1.weight,1,54,-350
fc1.weight,2,54,536
fc1.weight,3,54,1107
fc1.weight,4,54,841
fc1.weight,5,54,88
fc1.weight,0,55,0
fc1.weight,1,55,0
fc1.weight,2,55,0
fc1.weight,3,55,0
fc1.weight,4,55,0
fc1.weight,5,55,0
fc1.weight,0,56,-691
fc1.weight,1,56,2442
fc1.weight,2,56,1683
fc1.weight,3,56,-4031
fc1.weight,4,56,-667
fc1.weight,5,56,-658
fc1.weight,0,57,0
fc1.weight,1,57,0
fc1.weight,2,57,0
fc1.weight,3,57,0
fc1.weight,4,57,0
fc1.weight,5,57,0
fc1.weight,0,58,-6464
fc1.weight,1,58,3172
fc1.weight,2,58,511
fc1.weight,3,58,46
fc1.weight,4,58,203
fc1.weight,5,58,27
fc1.weight,0,59,-10997
fc1.weight,1,59,749
fc1.weight,2,59,-230
fc1.weight,3,59,278
fc1.weight,4,59,423
fc1.weight,5,59,650
fc1.weight,0,60,0
fc1.weight,1,60,0
fc1.weight,2,60,0
fc1.weight,3,60,0
fc1.weight,4,60,0
fc1.weight,5,60,0
fc1.weight,0,61,-699
fc1.weight,1,61,-2183
fc1.weight,2,61,-610
fc1.weight,3,61,698
fc1.weight,4,61,1041
fc1.weight,5,61,662
fc1.weight,0,62,51
fc1.weight,1,62,52
fc1.weight,2,62,90
fc1.weight,3,62,185
fc1.weight,4,62,71
fc1.weight,5,62,330
fc1.weight,0,63,1243
fc1.weight,1,63,-106
fc1.weight,2,63,-5781
fc1.weight,3,63,1865
fc1.weight,4,63,1120
fc1.weight,5,63,-107
fc2.weight,0,0,479
fc2.weight,1,0,-259
fc2.weight,2,0,538
fc2.weight,3,0,1015
fc2.weight,4,0,0
fc2.weight,5,0,-118
fc2.weight,6,0,206
fc2.weight,7,0,238
fc2.weight,8,0,-40
fc2.weight,9,0,-1350
fc2.weight,10,0,-446
fc2.weight,11,0,-209
fc2.weight,12,0,395
fc2.weight,13,0,-1111
fc2.weight,14,0,-452
fc2.weight,15,0,-133
fc2.weight,16,0,1795
fc2.weight,17,0,0
fc2.weight,18,0,377
fc2.weight,19,0,-60
fc2.weight,20,0,-2020
fc2.weight,21,0,540
fc2.weight,22,0,-346
fc2.weight,23,0,169
fc2.weight,24,0,421
fc2.weight,25,0,769
fc2.weight,26,0,680
fc2.weight,27,0,-10
fc2.weight,28,0,311
fc2.weight,29,0,424
fc2.weight,30,0,-21
fc2.weight,31,0,-1248
fc2.weight,32,0,0
fc2.weight,33,0,0
fc2.weight,34,0,297
fc2.weight,35,0,-2509
fc2.weight,36,0,733
fc2.weight,37,0,-2205
fc2.weight,38,0,0
fc2.weight,39,0,-1085
fc2.weight,40,0,-558
fc2.weight,41,0,1684
fc2.weight,42,0,-461
fc2.weight,43,0,-2147
fc2.weight,44,0,-258
fc2.weight,45,0,1421
fc2.weight,46,0,0
fc2.weight,47,0,11
fc2.weight,48,0,0
fc2.weight,49,0,960
fc2.weight,50,0,-411
fc2.weight,51,0,100
fc2.weight,52,0,0
fc2.weight,53,0,0
fc2.weight,54,0,-554
fc2.weight,55,0,0
fc2.weight,56,0,868
fc2.weight,57,0,0
fc2.weight,58,0,-424
fc2.weight,59,0,-529
fc2.weight,60,0,0
fc2.weight,61,0,604
fc2.weight,62,0,-634
fc2.weight,63,0,360
fc2.weight,0,1,676
fc2.weight,1,1,549
fc2.weight,2,1,1121
fc2.weight,3,1,1611
fc2.weight,4,1,0
fc2.weight,5,1,218
fc2.weight,6,1,-753
fc2.weight,7,1,5351
fc2.weight,8,1,570
fc2.weight,9,1,-71
fc2.weight,10,1,-959
fc2.weight,11,1,747
fc2.weight,12,1,69
fc2.weight,13,1,996
fc2.weight,14,1,581
fc2.weight,15,1,-333
fc2.weight,16,1,-1567
fc2.weight,17,1,0
fc2.weight,18,1,475
fc2.weight,19,1,-403
fc2.weight,20,1,-136
fc2.weight,21,1,-789
fc2.weight,22,1,-407
fc2.weight,23,1,-1477
fc2.weight,24,1,-376
fc2.weight,25,1,-1343
fc2.weight,26,1,-2303
fc2.weight,27,1,-636
fc2.weight,28,1,-187
fc2.weight,29,1,-1857
fc2.weight,30,1,-206
fc2.weight,31,1,771
fc2.weight,32,1,0
fc2.weight,33,1,0
fc2.weight,34,1,-653
fc2.weight,35,1,-3424
fc2.weight,36,1,1407
fc2.weight,37,1,-1
fc2.weight,38,1,0
fc2.weight,39,1,-533
fc2.weight,40,1,-648
fc2.weight,41,1,1303
fc2.weight,42,1,869
fc2.weight,43,1,-1124
fc2.weight,44,1,189
fc2.weight,45,1,84
fc2.weight,46,1,0
fc2.weight,47,1,548
fc2.weight,48,1,0
fc2.weight,49,1,-950
fc2.weight,50,1,1074
fc2.weight,51,1,-52
fc2.weight,52,1,0
fc2.weight,53,1,0
fc2.weight,54,1,170
fc2.weight,55,1,0
fc2.weight,56,1,-3765
fc2.weight,57,1,0
fc2.weight,58,1,1230
fc2.weight,59,1,-733
fc2.weight,60,1,0
fc2.weight,61,1,639
fc2.weight,62,1,-57
fc2.weight,63,1,941
fc2.weight,0,2,-447
fc2.weight,1,2,-187
fc2.weight,2,2,-578
fc2.weight,3,2,-16
fc2.weight,4,2,0
fc2.weight,5,2,-1908
fc2.weight,6,2,872
fc2.weight,7,2,-482
fc2.weight,8,2,-385
fc2.weight,9,2,363
fc2.weight,10,2,395
fc2.weight,11,2,-38
fc2.weight,12,2,-59
fc2.weight,13,2,-229
fc2.weight,14,2,-35
fc2.weight,15,2,-773
fc2.weight,16,2,-1738
fc2.weight,17,2,0
fc2.weight,18,2,90
fc2.weight,19,2,271
fc2.weight,20,2,-21
fc2.weight,21,2,-1957
fc2.weight,22,2,283
fc2.weight,23,2,231
fc2.weight,24,2,347
fc2.weight,25,2,816
fc2.weight,26,2,-179
fc2.weight,27,2,-998
fc2.weight,28,2,383
fc2.weight,29,2,-435
fc2.weight,30,2,403
fc2.weight,31,2,-911
fc2.weight,32,2,0
fc2.weight,33,2,0
fc2.weight,34,2,-226
fc2.weight,35,2,-2507
fc2.weight,36,2,-362
fc2.weight,37,2,58
fc2.weight,38,2,0
fc2.weight,39,2,87
fc2.weight,40,2,-142
fc2.weight,41,2,-73
fc2.weight,42,2,1933
fc2.weight,43,2,-605
fc2.weight,44,2,-780
fc2.weight,45,2,145
fc2.weight,46,2,0
fc2.weight,47,2,495
fc2.weight,48,2,0
fc2.weight,49,2,1521
fc2.weight,50,2,-376
fc2.weight,51,2,288
fc2.weight,52,2,0
fc2.weight,53,2,0
fc2.weight,54,2,160
fc2.weight,55,2,0
fc2.weight,56,2,-4052
fc2.weight,57,2,0
fc2.weight,58,2,814
fc2.weight,59,2,-841
fc2.weight,60,2,0
fc2.weight,61,2,-1446
fc2.weight,62,2,90
fc2.weight,63,2,2776
fc2.weight,0,3,-228
fc2.weight,1,3,-355
fc2.weight,2,3,155
fc2.weight,3,3,-240
fc2.weight,4,3,0
fc2.weight,5,3,239
fc2.weight,6,3,470
fc2.weight,7,3,-702
fc2.weight,8,3,160
fc2.weight,9,3,-314
fc2.weight,10,3,436
fc2.weight,11,3,-273
fc2.weight,12,3,65
fc2.weight,13,3,567
fc2.weight,14,3,-688
fc2.weight,15,3,-152
fc2.weight,16,3,177
fc2.weight,17,3,0
fc2.weight,18,3,40
fc2.weight,19,3,398
fc2.weight,20,3,-5655
fc2.weight,21,3,125
fc2.weight,22,3,245
fc2.weight,23,3,92
fc2.weight,24,3,-141
fc2.weight,25,3,28
fc2.weight,26,3,200
fc2.weight,27,3,102
fc2.weight,28,3,576
fc2.weight,29,3,270
fc2.weight,30,3,147
fc2.weight,31,3,-499
fc2.weight,32,3,0
fc2.weight,33,3,0
fc2.weight,34,3,195
fc2.weight,35,3,-339
fc2.weight,36,3,-174
fc2.weight,37,3,-5000
fc2.weight,38,3,0
fc2.weight,39,3,-290
fc2.weight,40,3,74
fc2.weight,41,3,90
fc2.weight,42,3,72
fc2.weight,43,3,94
fc2.weight,44,3,-313
fc2.weight,45,3,903
fc2.weight,46,3,0
fc2.weight,47,3,347
fc2.weight,48,3,0
fc2.weight,49,3,-339
fc2.weight,50,3,-408
fc2.weight,51,3,194
fc2.weight,52,3,0
